Name,Url,Authority,Started On,Finished On,License Number
Managing Your Personal Investments,https://www.linkedin.com/learning/certificates/0d7598e31732078163078bad5a485524727a82235e1a15193790d2c6c8d61a19,LinkedIn,Dec 2023,,
Financial Modeling Foundations,https://www.linkedin.com/learning/certificates/ce5939aaa229b66d2d09558b3e87b09a9c033c2f95bb6400e5780f669115c9b7,LinkedIn,Dec 2023,,
AI in Fintech Essential Training,https://www.linkedin.com/learning/certificates/8d3663a7ebd01d8ab6bfb32e6b16d52893daefcf91051a43aea144dc49359a56,LinkedIn,Dec 2023,,
Using ChatGPT and Generative AI in FinTech,https://www.linkedin.com/learning/certificates/8cb4efb01f2e28328570a69b1e1eabe805c37ebea9bff4593701b21be117e3bb,LinkedIn,Dec 2023,,
Accounting Foundations: Understanding the GAAP (Generally Accepted Accounting Principles),https://www.linkedin.com/learning/certificates/3af6e639b122ba47f38d25f64f698296ca5ff73542b7a614b3da7249d30f4950,LinkedIn,Jan 2024,,
Teamwork Essentials: Stand Out as a Valuable Team Member,https://www.linkedin.com/learning/certificates/9f829386a73607071ab1b119d4ea32e0ac0115c439391cc62382698c8ec14941,LinkedIn,Jan 2024,,
Azure OpenAI: Generative AI Models and How to Use Them,https://www.linkedin.com/learning/certificates/b6e68ecce14fffd5eea1495c84a156589807b406545967632191fe2238e74521,LinkedIn,May 2024,,
Supervised Machine Learning: Regression and Classification,https://coursera.org/share/592d46e012a5be571c864a673dfc377f,Stanford Online,Jun 2024,,
Google AI Essentials,https://coursera.org/share/df6c55731bb802687f354a236497b38a,Google,Jun 2024,,
Options 101,https://akunacapital.teachable.com/courses/837423/certificate?certificate_first_issued=true,Akuna Capital,Jul 2024,,ert_hl7369n8
Build Your Tech Resilience,https://learn.microsoft.com/api/achievements/share/en-us/AdhikariSaksham-1464/2BELPRLV?sharingId=64DDEF4E836E48DB,Microsoft,Sep 2024,,
AWS Certifications,https://www.credly.com/badges/40508c8c-e06b-429c-838b-8156289bf73a/public_url,Amazon Web Services (AWS),Apr 2025,,
